Data;Precipitazione dalle 9 alle 9 ( mm );Precipitazione dalle 0 alle 0 ( mm );Temperatura media ( °C );Temperatura massima ( °C );Temperatura minima ( °C );Umidita' media ( % );Umidita' massima ( % );Umidita' minima ( % );Velocita' media ( m/s );Raffica ( m/s );Durata Calma ( min );Settore Prevalente;Tempo Permanenza ( min );Radiazione totale ( MJ/mq );
01/01/2021;0.4;0.0;2.2;3.0;1.1;90;98;70;1.0;3.4;10;NNW;230;1.6;
02/01/2021;12.4;2.6;3.8;5.5;1.5;96;99;91;1.4;6.9;0;N;650;;
03/01/2021;24.4;31.4;4.3;5.1;2.4;94;99;89;1.3;4.8;20;N;540;0.8;
04/01/2021;5.8;4.8;3.9;4.5;3.1;96;99;89;1.3;5.5;10;N;440;;
05/01/2021;3.8;7.6;3.8;5.3;1.8;93;99;81;1.5;5.2;0;SSW;370;1.1;
06/01/2021;3.8;4.0;3.7;5.6;1.3;89;96;77;1.0;3.8;20;SSW;450;3.7;
07/01/2021;0.0;0.2;2.2;3.7;0.4;79;96;70;1.1;3.2;0;SSW;320;2.7;
08/01/2021;0.0;0.0;2.0;5.5;-0.6;65;84;46;1.0;3.7;20;SW;240;7.5;
09/01/2021;0.0;0.0;1.6;4.2;-0.2;68;80;45;0.8;2.6;40;ENE;350;4.1;
10/01/2021;0.0;0.0;1.5;4.3;-0.7;66;79;50;0.9;3.7;20;E;260;3.9;
11/01/2021;0.0;0.0;0.5;4.4;-2.0;68;80;50;1.1;4.1;10;ENE;340;7.5;
12/01/2021;0.0;0.0;1.3;5.4;-1.9;65;88;38;1.1;5.6;20;SW;660;7.0;
13/01/2021;0.0;0.0;5.1;12.6;0.0;64;82;39;0.9;5.7;120;SW;260;7.9;
14/01/2021;0.0;0.0;5.9;18.2;0.3;68;95;19;1.8;12.1;20;NNE;360;8.2;
15/01/2021;0.0;0.0;4.5;6.2;1.2;68;83;57;1.1;5.2;20;NE;310;3.1;
16/01/2021;0.0;0.0;2.2;5.8;-0.4;77;89;57;1.0;3.6;20;SW;230;7.8;
17/01/2021;0.0;0.0;1.8;5.0;-0.6;82;93;68;0.9;4.4;40;NNE;280;6.9;
18/01/2021;0.0;0.0;2.7;7.5;-1.6;73;96;39;1.1;4.5;60;SW;320;8.2;
19/01/2021;0.0;0.0;2.5;6.7;-1.1;71;87;51;0.9;3.2;30;NE;310;7.4;
20/01/2021;0.0;0.0;3.4;7.0;0.9;71;95;48;1.1;3.7;60;N;360;6.3;
21/01/2021;0.0;0.0;3.6;5.0;2.2;89;95;80;1.0;3.2;10;ENE;290;1.9;
22/01/2021;0.0;0.0;3.7;5.4;0.7;93;100;85;1.2;5.8;30;SSW;190;1.1;
23/01/2021;23.2;23.2;6.0;10.9;2.8;78;97;56;1.6;6.3;50;SSW;350;7.2;
24/01/2021;0.0;0.0;6.2;9.9;2.2;64;93;4;2.2;10.0;10;SSW;590;9.4;
25/01/2021;0.0;0.0;6.2;10.2;3.2;41;69;17;1.9;10.2;50;W;280;9.6;
26/01/2021;0.0;0.0;4.6;9.0;1.2;39;57;21;1.4;5.5;80;SSW;510;10.0;
27/01/2021;0.0;0.0;3.8;8.4;0.5;52;68;32;1.0;4.0;40;N;320;8.6;
28/01/2021;0.0;0.0;4.6;9.8;0.4;60;82;39;1.2;4.1;80;SSW;420;8.7;
29/01/2021;0.0;0.0;8.4;15.8;1.9;59;83;31;2.0;10.3;30;WNW;230;9.8;
30/01/2021;0.0;0.0;7.8;10.7;4.8;67;97;47;1.3;4.1;30;NE;380;4.5;
31/01/2021;11.2;11.2;7.6;12.7;5.2;85;100;59;1.5;4.6;20;SSW;410;10.0;
01/02/2021;0.0;0.0;7.1;9.3;4.6;82;93;66;1.4;4.2;10;NE;470;5.7;
02/02/2021;0.0;0.0;5.4;10.6;1.9;90;100;65;1.0;4.0;20;ENE;290;8.6;
03/02/2021;0.0;0.0;6.6;7.9;5.5;92;96;87;1.1;2.9;30;ENE;540;2.4;
04/02/2021;0.0;0.0;7.9;9.0;6.7;89;97;81;1.5;5.5;10;SSW;660;2.7;
05/02/2021;1.8;0.0;8.7;10.3;7.6;95;100;86;1.1;3.9;20;ENE;300;2.9;
06/02/2021;0.0;1.8;7.9;8.8;7.3;98;100;91;1.2;5.6;10;N;310;0.7;
07/02/2021;13.6;8.6;7.3;8.6;5.1;92;100;84;1.0;4.6;50;E;310;2.6;
08/02/2021;1.6;6.6;6.9;11.7;3.8;79;100;38;1.2;4.5;20;SSW;320;10.7;
09/02/2021;0.0;0.0;7.9;11.7;3.8;70;87;4;0.9;3.7;90;ENE;260;10.4;
10/02/2021;2.2;0.0;8.0;11.3;6.0;81;95;63;1.1;5.1;20;SSW;320;8.4;
11/02/2021;0.0;2.2;7.6;12.9;3.3;66;95;24;1.5;6.9;30;NE;570;12.2;
12/02/2021;0.0;0.0;3.3;6.2;-0.6;79;95;62;2.5;7.3;0;NE;710;2.2;
13/02/2021;0.0;0.0;-0.4;0.5;-1.6;68;93;49;1.9;6.9;10;NE;530;4.6;
14/02/2021;0.0;0.0;1.6;5.9;-2.4;49;79;15;1.6;5.5;30;SSW;530;13.3;
15/02/2021;0.0;0.0;2.7;6.6;-1.5;52;74;28;1.0;4.9;20;ENE;330;11.2;
16/02/2021;0.0;0.0;4.8;9.1;0.5;52;70;32;0.8;3.2;20;N;250;10.0;
17/02/2021;0.0;0.0;7.7;13.2;3.0;61;79;47;1.2;4.1;30;SSW;410;12.4;
18/02/2021;0.0;0.0;7.3;10.1;4.5;82;92;73;1.1;3.5;40;NNE;360;5.0;
19/02/2021;0.0;0.0;9.0;12.8;5.9;79;92;59;0.7;3.6;140;E;260;6.8;
20/02/2021;0.0;0.0;9.1;13.9;5.1;77;94;55;0.8;3.6;200;NE;170;8.1;
21/02/2021;0.0;0.0;9.6;12.7;7.0;81;94;70;1.2;4.5;20;ENE;380;11.8;
22/02/2021;0.0;0.0;10.5;13.4;7.7;74;92;52;1.1;4.1;30;SSW;430;6.5;
23/02/2021;0.0;0.0;12.1;18.1;7.5;63;84;39;0.9;4.2;80;SW;330;12.0;
24/02/2021;0.0;0.0;13.9;20.5;7.4;56;81;29;0.8;3.5;260;SSW;410;12.6;
25/02/2021;0.0;0.0;14.4;20.8;9.3;50;74;29;1.1;5.0;160;SSW;410;13.8;
26/02/2021;0.0;0.0;14.1;20.2;8.9;51;71;29;0.7;3.2;130;NE;230;13.4;
27/02/2021;0.0;0.0;13.2;18.0;8.2;53;74;33;2.0;7.8;20;NE;580;10.4;
28/02/2021;0.0;0.0;11.1;14.1;7.3;51;64;35;2.0;7.9;0;NE;450;13.9;
01/03/2021;0.0;0.0;10.1;16.5;4.2;50;78;23;0.9;3.4;50;NE;260;15.4;
02/03/2021;0.0;0.0;11.0;17.3;4.5;43;68;18;0.8;3.7;70;ENE;260;14.1;
03/03/2021;0.0;0.0;10.0;13.7;7.2;54;69;39;0.8;3.0;0;ENE;380;7.3;
04/03/2021;0.0;0.0;9.8;14.0;6.1;60;76;35;0.9;3.7;20;SSW;250;10.5;
05/03/2021;0.0;0.0;10.5;15.6;5.0;60;83;43;0.8;4.8;80;NNW;180;14.5;
06/03/2021;0.8;0.0;7.1;9.5;5.7;79;97;60;1.9;9.3;0;NE;490;1.3;
07/03/2021;0.0;0.8;8.0;10.3;6.2;70;83;57;1.0;4.1;0;SSW;200;7.6;
08/03/2021;0.0;0.0;8.6;13.4;4.1;67;85;43;1.1;3.6;0;ENE;310;15.2;
09/03/2021;0.0;0.0;8.5;10.8;6.3;69;82;54;1.1;3.5;20;NE;360;6.5;
10/03/2021;0.0;0.0;9.4;14.6;4.4;52;85;28;1.2;6.2;0;N;220;16.9;
11/03/2021;0.0;0.0;9.0;13.7;5.2;60;83;41;1.1;4.7;10;NE;350;10.9;
12/03/2021;0.0;0.0;11.1;17.0;4.8;53;89;18;1.4;8.2;60;WNW;200;15.9;
13/03/2021;0.0;0.0;11.8;17.3;5.9;43;75;21;1.2;4.8;30;NE;270;17.8;
14/03/2021;0.0;0.0;11.2;13.5;6.5;32;86;11;4.1;15.2;0;W;840;19.6;
15/03/2021;0.0;0.0;11.8;16.0;5.1;32;51;24;2.7;12.9;0;W;610;18.9;
16/03/2021;0.0;0.0;11.7;15.9;7.5;22;46;9;1.8;9.4;30;ENE;240;19.4;
17/03/2021;0.0;0.0;9.9;14.2;4.5;30;46;18;1.0;5.6;60;SW;190;16.2;
18/03/2021;0.0;0.0;8.2;10.8;4.8;44;68;31;1.7;6.3;0;NNE;350;14.1;
19/03/2021;0.0;0.0;6.1;8.1;3.9;58;78;42;2.0;7.8;10;N;390;12.7;
20/03/2021;0.0;0.0;6.9;11.2;2.4;43;69;14;1.5;6.9;0;ENE;380;20.1;
21/03/2021;0.0;0.0;6.2;10.2;2.6;49;65;33;1.3;4.7;10;NNE;190;17.5;
22/03/2021;0.0;0.0;10.2;16.7;4.6;41;67;17;1.4;5.5;20;SSW;280;17.3;
23/03/2021;0.0;0.0;10.2;15.1;4.8;39;57;26;1.5;5.4;10;ENE;390;19.8;
